age,retirement_age,monthly_income,monthly_contribution,current_savings,inflation_rate,employment_type,job_stability,contribution_gap_months,worker_type,income_category,season_type,readiness_score,consistency_score,volatility_score,sustainability_score,inflation_vulnerability_score
46,65,94159.41648238708,10252.120776928039,18309.099035523886,11.255979349652614,0,0.6844977678636437,7,informal,market_vendor,,0.019132802606539052,0.9692982456140351,0.47325334820453446,0.019132802606539052,0.5520310459306216
35,65,53705.60732335974,3619.540943902532,78606.11623295696,9.614967620320385,0,0.5452964823197353,2,informal,artisan,,0.015199676068250269,0.9944444444444445,0.6820552765203971,0.015199676068250267,0.47344116135424
20,60,470726.104481237,41425.14400421099,1564001.9335818435,9.536931796229622,0,0.48919498440258946,10,informal,small_business,,0.01529657994827743,0.9791666666666666,0.7662075233961159,0.01529657994827743,0.4695524678273663
20,65,89304.80366606219,5363.720274334365,14815.03441057405,13.14012306162277,0,0.521000139918222,3,informal,casual_labor,,0.0012162908625748625,0.9944444444444445,0.718499790122667,0.0012162908625748627,0.6562070425004904
29,60,229207.4418567711,16884.100711522027,42757.68143327439,12.123844098381714,0,0.5802689379384639,11,informal,artisan,,0.00573451651327178,0.9704301075268817,0.6295965930923042,0.0057345165132717795,0.6027159857097606
58,65,83870.19673755202,7538.196606854916,8612.9049564855,4.963125344271672,0,0.38863737217577893,10,informal,casual_labor,,0.02386806408655165,0.8809523809523809,0.9170439417363315,0.023868064086551653,0.24223325752425037
33,65,112668.40092541896,11194.989094502365,1834.4917327921896,9.148264582106785,0,0.47922035261350066,3,informal,artisan,,0.02188044877523629,0.9921875,0.7811694710797491,0.02188044877523629,0.4474048223767845
36,60,201892.1624313043,21826.489708055502,398949.09132850886,7.657610217330927,0,0.40983176297320106,4,informal,market_vendor,,0.04669047729253456,0.9861111111111112,0.8852523555401983,0.04669047729253456,0.36500363706817784
53,65,68156.50219177618,6699.753183965085,637079.8022914538,4.11924002017688,0,0.5518393990921461,9,informal,small_business,,0.09571938810823834,0.9375,0.6722409013617809,0.09571938810823834,0.1862474442987291
65,65,44554.402679436105,4951.9042949831055,113794.53413768133,5.155015045638278,0,0.37968560899950565,6,informal,casual_labor,,0.011105004153296173,0.0,0.9304715865007416,0.011105004153296173,0.254888429107308
21,60,257861.88820439845,27002.64054303344,529497.0108381843,7.134394978036402,0,0.5167499589828405,5,informal,artisan,,0.04904322005567144,0.9893162393162394,0.7248750615257393,0.04904322005567144,0.3392250637582243
48,60,112676.79636925514,8828.539464494386,289591.92603084724,6.641822563946752,0,0.41773318580191443,7,informal,casual_labor,,0.03768758748003291,0.9513888888888888,0.8734002212971284,0.03768758748003291,0.31957541475205764
47,65,141322.1473042182,16175.555342255975,324545.95257535676,4.34891538509446,0,0.6668408070951346,5,informal,casual_labor,,0.09250152419613285,0.9768518518518519,0.4997387893572981,0.09250152419613283,0.19733170416866053
51,65,237692.34439165483,27105.91478925894,218590.0440012636,13.526900721046612,2,0.5823299501793918,2,seasonal,,tourism,0.01716494428903645,0.9880952380952381,0.5012040597847298,0.017164944289036452,0.664735611188326
